,Overall_Rank,State,Total_Score,Education_Score,Health_Score,Safety_Score,Economy_Score,Infra_Pollution_Score,Vote_2020,Legislature,Governor,Control,Revenue1,General_revenue1,Intergovernmental_revenue1,From_Federal_Government,From_State_government1,From_local_governments1,General_revenue_from_own_sources,Taxes,Property,Sales_and_gross_receipts,General_sales,Selective_sales,Motor_fuel,Alcoholic_beverage,Tobacco_products,Public_utilities,Other_selective_sales,Individual_income,Corporate_income,Motor_vehicle_license,Other_taxes,Charges_and_miscellaneous_general_revenue,Intergovernmental_expenditure1,Direct_expenditure,Current_operations,Capital_outlay,Construction,Other_capital_outlay,Assistance_and_subsidies,Interest_on_debt,Insurance_benefits_and_repayments,Exhibit:_Salaries_and_wages,Education_Expenditures,Higher_education,Elementary_&_secondary,Other_education,Libraries,Public_Welfare_Expenditures,Cash_assistance_payments,Vendor_payments,Other_public_welfare,Hospital_Expenditures,Health_Expenditures,Employment_security_administration,Veterans'_services,Highway_Expenditures,Air_transportation_(airports),Parking_facilities,Sea_and_inland_port_facilities,Police_Expenditures,Fire_protection,Corrections_Expenditures,Capital_outlay,Protective_inspection_and_regulation,Natural_Resources_Expenditures,Parks_Rec_Expenditures,Housing_and_community_development,Sewerage,Solid_waste_management,Financial_administration,Judicial_and_legal,General_public_buildings,Other_governmental_administration,Interest_on_general_debt,2020_Tax_Burden,POP_2020
0,45,Alabama,39.79,45,49,44,20,25,R,R,R,R,55343113,48105187,14727571,14727571,0,0,33377616,18873688,3176724,9216805,5803965,3412840,879826,293409,203822,793912,1241871,4413162,754272,266475,1046251,14503929,0,52646924,40818636,4907833,3788422,1119410,1076698,1331576,4512181,14827663,15229269,5609750,8282563,1336956,113015,7806178,129420,6908064,768694,7348210,954137,97318,11174,2638734,220896,15922,159899,1453284,550293,886720,26110,174835,250070,518272,594544,478855,343592,716809,450809,118481,511223,1194731,10.0%,5024803
1,48,Alaska,35.23,50,34,49,42,26,R,R,R,R,14035106,12414682,4757491,4757491,0,0,7657191,3312580,1666881,681588,245129,436460,62024,46436,97073,17607,213320,0,162611,55649,745851,4344611,0,15076507,10832894,2015727,1661667,354060,175657,369787,1682442,3623675,3085915,630964,2367486,87465,37485,2731308,137457,2237724,356127,436902,239372,24535,0,1360743,316311,8976,185239,405927,228688,347578,5870,44705,470028,126306,237396,147445,127032,369253,248068,78175,284144,330652,5.0%,732441
2,43,Arizona,41.96,43,39,41,26,42,D,R,R,R,73442489,63083634,22080563,22080563,0,0,41003071,29686535,8658002,14894521,12501783,2392738,879833,80587,307903,223496,900920,4530410,523062,257172,823368,11316536,0,71488388,52539696,7339748,5320932,2018815,3297468,1812968,6498509,16878999,19621970,6887964,9671830,3062176,198870,17299467,294848,13258534,3746085,977079,1037335,113292,20991,3049278,833000,10087,0,2916902,1415813,1847348,58116,233808,519785,959318,553856,772351,522418,627548,1107741,225465,726078,1487967,9.8%,7177986
3,40,Arkansas,42.66,36,36,46,33,13,R,R,R,R,34422618,28627260,9695664,9695664,0,0,18931596,13061128,2404412,6695733,5023826,1671907,542952,67910,228521,155352,677173,2914939,469029,170569,406445,5870468,173,28980488,22632276,2914130,2436148,477982,529113,583058,2321910,8007954,8880982,2770945,5505319,604718,100671,7365628,3950,6748302,613376,1516741,287869,95262,1771,1835514,110074,3765,4926,736615,326924,537521,25614,108129,301738,293418,305599,299460,228857,690384,240827,38336,260320,539140,10.9%,3012232
4,37,California,46.5,16,27,36,45,47,D,D,D,D,651904381,521559575,116049413,116049413,0,0,405510163,276549753,77211808,84321314,59171730,25149584,8449593,407884,2122673,4214004,9955430,84412243,9817957,4982848,15803582,128960410,2763214,675699407,503702631,49630990,42026178,7604813,14641373,20363558,87360854,166769293,159811981,54261732,96863459,8686790,1636304,136898802,7673903,107435931,21788967,33543333,32485718,293234,28110,22787560,5302685,562388,1085592,22281769,10258925,16481140,320806,5198915,8417005,7294790,9763021,8597498,3984050,3302624,8839746,552934,7321228,17495674,12.9%,39499738
5,27,Colorado,53.31,33,6,35,13,23,D,D,D,D,79606745,62007850,12680672,12680672,0,0,49327178,32786417,11315232,11825795,8737939,3087856,663889,50779,187650,128554,2056984,7539184,696612,502987,906607,16540761,32394,73991098,51757577,9467019,7656778,1810241,1135544,3129152,8501805,20224465,19966086,6265647,12226348,1474091,324099,10780858,95220,8863416,1822222,3273378,923046,58197,3400,3466503,1296851,44283,0,2316578,1979876,1504750,6355,133965,608592,2034803,1333531,1322193,146386,1263229,984099,296696,1141595,2719165,10.1%,5784308
6,5,Connecticut,64.3,4,10,4,27,34,D,D,D,D,51910360,46237570,10381006,10381006,0,0,35856564,30416426,11862863,7468451,4581615,2886836,472732,64774,320931,268919,1759480,8177456,2062263,230462,614931,5440138,0,45285851,31799167,3641701,2952125,689576,541747,2168410,7134827,12801625,14090364,3386349,10033291,670724,170402,3934986,153368,2704560,1077059,1593459,1008545,19889,25284,2098809,29741,48127,1066,1293359,557730,716415,2623,94391,178155,241166,717405,519053,273839,579039,660134,120249,711905,2122622,13.7%,3600260
7,17,Delaware,56.73,9,31,33,31,4,D,D,D,D,14835230,13051461,4337511,4337511,0,0,8713951,5810994,1040977,605514,0,605514,136824,25204,119153,54869,269463,1744674,252224,56082,2111524,2902956,973,13310761,10223132,1303435,1003297,300138,401682,319859,1062654,3173494,4456420,1557057,2288331,611032,38111,2815592,36051,2409403,370138,79929,530334,17987,0,724553,8561,11175,23339,390875,38233,362801,5205,84546,81793,92434,176329,226720,108332,266168,201630,112719,179610,308634,12.2%,991886
8,30,Florida,51.05,10,38,34,39,31,R,R,R,R,208905616,186647418,41781802,41781802,0,0,144865616,87299490,33243930,43334312,30741766,12592545,3637307,300379,1097766,3897758,3659335,0,2481710,1498596,6740942,57566126,0,208234166,161090025,23255696,18043363,5212333,3129052,4695693,16063700,49870913,49591082,12422392,32058798,5109892,683008,30643568,153467,27257968,3232133,11340376,7748955,303832,14795,12241602,3247719,246732,691503,10100205,4741371,5011464,156360,1007048,4516718,3911626,2606696,4369606,3040675,4052144,2687662,320718,1504045,3711038,9.2%,21569932
9,34,Georgia,49.25,28,50,27,6,29,R,R,R,R,103264080,84651066,19386408,19386408,0,0,65264658,43708584,14331914,15342875,10499253,4843622,1873220,360127,225531,400997,1983747,11704328,984087,375639,969741,21556074,0,100471745,73525609,10043252,8359375,1683878,1576644,2426416,12899823,27728838,31891860,6514614,22631869,2745377,188132,13787915,84648,12283521,1419746,5840392,2384459,32864,11380,5051869,902801,9513,526147,3042143,1362996,2175003,63453,146642,647939,1056950,1107242,1473467,836780,1363254,1616600,539530,927764,1604057,9.4%,10725800
