Overall Gov’t. Services Rank,State,Total Score,Education,Health,Safety,Economy,Infrastructure & Pollution,2020 Vote,Legislature,Governor,Control
45,Alabama,39.79,45,49,44,20,25,R,R,R,R
48,Alaska,35.23,50,34,49,42,26,R,R,R,R
43,Arizona,41.96,43,39,41,26,42,D,R,R,R
40,Arkansas,42.66,36,36,46,33,13,R,R,R,R
37,California,46.5,16,27,36,45,47,D,D,D,D
27,Colorado,53.31,33,6,35,13,23,D,D,D,D
5,Connecticut,64.3,4,10,4,27,34,D,D,D,D
17,Delaware,56.73,9,31,33,31,4,D,D,D,D
30,Florida,51.05,10,38,34,39,31,R,R,R,R
34,Georgia,49.25,28,50,27,6,29,R,R,R,R
33,Hawaii,49.39,27,3,26,49,40,D,D,D,D
25,Idaho,54.01,48,28,11,11,21,R,R,R,R
22,Illinois,55.43,14,16,25,21,27,D,D,D,D
18,Indiana,56.3,11,29,23,17,16,R,R,R,R
8,Iowa,63.83,15,5,14,9,11,R,R,R,R
29,Kansas,51.66,40,11,37,7,24,R,R,D,S
23,Kentucky,54.54,25,30,18,29,14,R,R,D,S
50,Louisiana,31.8,46,44,48,48,48,R,R,D,S
13,Maine,59.36,32,13,1,34,36,D,D,D,D
10,Maryland,62.62,3,17,28,5,7,D,D,R,S
11,Massachusetts,61.59,13,2,7,32,41,D,D,R,S
31,Michigan,50.93,26,18,24,35,43,D,R,D,S
1,Minnesota,73.24,6,1,10,3,2,D,S,D,S
47,Mississippi,37.42,47,45,30,44,49,R,R,R,R
38,Missouri,45.58,34,32,42,10,46,R,R,R,R
28,Montana,52.21,23,14,38,37,12,R,R,R,R
12,Nebraska,59.68,20,21,20,4,8,R,S,R,R
44,Nevada,40.07,41,33,40,50,19,D,D,D,D
9,New Hampshire,63.2,18,9,2,8,38,D,R,R,R
15,New Jersey,57.63,7,26,3,19,50,D,D,D,D
49,New Mexico,34.88,49,20,50,47,32,D,D,D,D
19,New York,55.99,8,37,15,41,28,D,D,D,D
32,North Carolina,50.07,21,48,32,24,10,R,R,D,S
4,North Dakota,64.47,24,4,19,12,1,R,R,R,R
26,Ohio,53.4,31,25,17,25,22,R,R,R,R
42,Oklahoma,42.19,35,43,43,22,45,R,R,R,R
36,Oregon,46.67,42,23,31,40,30,D,D,D,D
24,Pennsylvania,54.01,22,19,16,38,37,D,R,D,S
16,Rhode Island,57.46,19,8,5,43,39,D,D,D,D
46,South Carolina,39.63,39,47,47,30,18,R,R,R,R
21,South Dakota,55.46,37,12,29,15,5,R,R,R,R
41,Tennessee,42.24,29,46,45,23,20,R,R,R,R
35,Texas,47.93,38,40,39,16,15,R,R,R,R
7,Utah,64.27,17,24,13,1,17,R,R,R,R
2,Vermont,67.96,2,7,6,36,6,D,D,R,S
3,Virginia,66.31,5,41,8,2,9,D,D,D,D
20,Washington,55.74,12,22,21,18,33,D,D,D,D
39,West Virginia,42.71,44,42,22,46,44,R,R,R,R
6,Wisconsin,64.28,1,15,12,14,35,D,R,D,S
14,Wyoming,59.01,30,35,9,28,3,R,R,R,R
