State,Fall 1990,Fall 2000,Fall 2010,Fall 2011,Fall 2012,Fall 2013,Fall 2014,Fall 2015,Fall 2016,Fall 2017,Fall 2018,Fall 2019,Fall 2020,Fall 2021
  Alabama,"721,806","739,992","755,552","744,621","744,637","746,204","744,164","743,789","744,930","742,444","739,716","744,235","734,559","748,268"
  Alaska,"113,903","133,356","132,104","131,167","131,489","130,944","131,176","132,477","132,737","132,872","130,963","132,017","129,872","129,944"
  Arizona,"639,853","877,696","1,071,751","1,080,319","1,089,384","1,102,445","1,111,695","1,109,040","1,123,137","1,110,851","1,141,511","1,152,586","1,111,500","1,133,284"
  Arkansas,"436,286","449,959","482,114","483,114","486,157","489,979","490,917","492,132","493,447","496,085","495,291","496,927","486,305","489,565"
  California,"4,950,474","6,140,814","6,289,578","6,287,834","6,299,451","6,312,623","6,312,161","6,305,347","6,309,138","6,304,266","6,272,734","6,249,005","6,064,504","5,960,120"
  Colorado,"574,213","724,508","843,316","854,265","863,561","876,999","889,006","899,112","905,019","910,280","911,536","913,223","883,199","880,597"
  Connecticut,"469,123","562,179","560,546","554,437","550,954","546,200","542,678","537,933","535,118","531,288","526,634","523,690","509,058","508,686"
  Delaware,"99,658","114,676","129,403","128,946","129,026","131,687","134,042","134,847","136,264","136,293","138,405","139,930","138,092","138,163"
  Florida,"1,861,592","2,434,821","2,643,347","2,668,156","2,692,162","2,720,744","2,756,944","2,792,234","2,816,791","2,832,424","2,846,444","2,858,461","2,791,707","2,833,186"
  Georgia,"1,151,687","1,444,937","1,677,067","1,685,016","1,703,332","1,723,909","1,744,437","1,757,237","1,764,346","1,768,642","1,767,202","1,769,657","1,730,015","1,740,875"
  Hawaii,"171,708","184,360","179,601","182,706","184,760","186,825","182,384","181,995","181,550","180,837","181,278","181,088","176,441","173,178"
  Idaho,"220,840","245,117","275,859","279,873","284,834","296,476","290,885","292,277","297,200","301,186","310,522","311,096","307,581","314,258"
  Illinois,"1,821,407","2,048,792","2,091,654","2,083,097","2,072,880","2,066,990","2,050,239","2,041,779","2,026,718","2,005,153","1,982,327","1,943,117","1,886,137","1,868,482"
  Indiana,"954,525","989,267","1,047,232","1,040,765","1,041,369","1,047,385","1,046,269","1,046,757","1,049,547","1,054,187","1,055,706","1,051,411","1,033,964","1,036,625"
  Iowa,"483,652","495,080","495,775","495,870","499,825","502,964","505,311","508,014","509,831","511,850","514,833","517,324","506,656","510,661"
  Kansas,"437,034","470,610","483,701","486,108","489,043","496,440","497,275","495,884","494,347","497,088","497,733","497,963","481,750","485,424"
  Kentucky,"636,401","665,850","673,128","681,987","685,167","677,389","688,640","686,598","684,017","680,978","677,821","691,996","658,809","654,239"
